Block 1
File name, MAC, Probvector
api-ms-win-core-apiquery-l1-1-0 - Copy (10) - Copy.dll, d2cd78b753b50954e6c400516663554d, 1.050877E-31
api-ms-win-core-apiquery-l1-1-0 - Copy (2) - Copy.dll, b903248627ce3aacbe06e75c18b2f607, 1.48706E-30
api-ms-win-core-apiquery-l1-1-0 - Copy (2).dll, b32a9e11a239c73b01df805cbba1ac87, 1.997796E-29
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy - Copy.dll, 626deb88dcb1e07556e9bd8cb21a61c3, 2.548125E-28
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy.dll, 0994c6b8049d7d712d4773bd5eb952b7, 3.085579E-27
api-ms-win-core-apiquery-l1-1-0 - Copy (3).dll, d0a4270ed5187df61482c268428ca388, 3.547311E-26
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy - Copy.dll, f78b2736a887d4ab4e5f3a60fff42b0d, 3.87176E-25
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy.dll, b58e322703b7126a6999f418ef476a1d, 4.012029E-24
api-ms-win-core-apiquery-l1-1-0 - Copy (4).dll, 5e4ab5744858f9b62484bd1c7cb43c6a, 3.946993E-23
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy - Copy.dll, 18662882acbc04331bb3d879fb426773, 3.686509E-22
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy.dll, a07907649c04e16163f397e2481afc04, 3.268968E-21
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy.dll, c22350cf6e8142dc28307fcd32dd6b2e, 2.752027E-20
api-ms-win-core-apiquery-l1-1-0 - Copy (5).dll, 57d9cbc661ca66a03cfe2450f6341f79, 2.199588E-19
api-ms-win-core-apiquery-l1-1-0 - Copy (6) - Copy - Copy.dll, 3e0f6b3ea3ef77c372830a4fc7152280, 1.669077E-18
api-ms-win-core-apiquery-l1-1-0 - Copy (6) - Copy.dll, 4ba5428331d21402195bfab890147d4d, 1.202426E-17
api-ms-win-core-apiquery-l1-1-0 - Copy (6).dll, df5cb7781bdeff4d462fb957ca1a927a, 8.224064E-17
api-ms-win-core-apiquery-l1-1-0 - Copy (7) - Copy.dll, 981a70a586d69cf99dae89e224ea302e, 5.340247E-16
api-ms-win-core-apiquery-l1-1-0 - Copy (7).dll, 31f46e25c8eded2db124d46c480786d8, 3.292174E-15
api-ms-win-core-apiquery-l1-1-0 - Copy (8) - Copy.dll, 9086d8a46d0b56c150a498c173ae99a5, 1.926863E-14
api-ms-win-core-apiquery-l1-1-0 - Copy (9) - Copy.dll, bdeac4ee9cb4d94c01eb97999db0281d, 1.070694E-13
api-ms-win-core-apiquery-l1-1-0 - Copy - Copy (2).dll, e7baa96c0995465d594e0c267fae9759, 5.648415E-13
api-ms-win-core-apiquery-l1-1-0 - Copy - Copy.dll, ec0f6aa45df7b49ca11f03469fb508f4, 2.829009E-12
api-ms-win-core-apiquery-l1-1-0 - Copy.dll, e969d1d3c0b703a352b8a767a109e197, 1.345206E-11
api-ms-win-core-apiquery-l1-1-0.dll, 524f906d0fbaa4304a25af8a8a9ab357, 6.072808E-11
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (2) - Copy.dll, 3f6a63c14435ac318a5fc2bd59e47123, 2.602777E-10
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (2).dll, a431e7ccc41c4f1e8e4eb312949564d0, 1.059085E-9
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (3) - Copy.dll, 79f9a8ccb3a99c96331c98607805f3bd, 4.091397E-9
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (3).dll, a9a80df67b6ce4bdde23b2ff1244a4ce, 1.500579E-8
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (4) - Copy.dll, 886fd380825c54e512ef99f11c41a3d9, 5.225075E-8
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (4).dll, c47d9c5754a01f4138082409a92d86f8, 1.72732E-7
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (5).dll, cca19ed11e98ac655730892be78ff1b8, 5.421253E-7
api-ms-win-downlevel-advapi32-l1-1-0 - Copy - Copy.dll, f6af1887fed34a6a8a810d3a3f4927d3, 1.615374E-6
api-ms-win-downlevel-advapi32-l1-1-0 - Copy.dll, 8746aaf0eaa5eb153b09f86a6dc40a99, 4.569758E-6
api-ms-win-downlevel-advapi32-l1-1-0.dll, b5c9cc506fd25f8e23ec43e36e7d0bfe, 1.227326E-5
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (2) - Copy.dll, c455915ebf555e76efca414356e15b08, 3.129486E-5
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (2).dll, c8da7ed98c8205e32250293dc250c680, 7.575874E-5
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (3) - Copy.dll, 3d2def6f5e9e14f825046f76c67814e7, 1.741161E-4
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (3).dll, 31f90a1dbb9a847adc584e586a9aa409, 3.799198E-4
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (4) - Copy.dll, 9f0ba6e06b0714deb4f61c0d21aa33d7, 7.870302E-4
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (4).dll, 873743cd57258f40711077bf0755c88c, 0.001547881
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (5).dll, 7acf3a2e1ce34373e283891c5f0469df, 0.002890214
api-ms-win-downlevel-advapi32-l1-1-1 - Copy - Copy.dll, 1ec97df3ebb29d3e1794b28aca2cac12, 0.005123529
api-ms-win-downlevel-advapi32-l1-1-1 - Copy.dll, 70ffd5a7cb7d16ba8da6e682c4ea8c18, 0.008622933
api-ms-win-downlevel-advapi32-l1-1-1.dll, 2df16117ba7c29d3551a0ed9e35e8291, 0.01377804
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (2) - Copy.dll, 7fe4843e84b00d3176353916fed24f31, 0.02090096
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (2).dll, 4bb629b8ef5552d638ba5261c138f731, 0.03010175
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (3) - Copy.dll, 0c94f5ec385712c76be2e2f99e1f0988, 0.0411589
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (3).dll, e301f0590734a99a9cb030030e726ec6, 0.05342965
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4) - Copy.dll, f46a319ee10a50ca97b524d2326743f2, 0.06584875
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4).dll, 87d633a7f08f6c992aa6ed51b1d2fb36, 0.07704763
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (5).dll, 1d93050dbe13913a8acdff88c1ba3ba1, 0.08558894
api-ms-win-downlevel-advapi32-l2-1-0 - Copy - Copy.dll, 74797893629ec1e60eb382a11adf74df, 0.09026565
api-ms-win-downlevel-advapi32-l2-1-0 - Copy.dll, 0798b846c524af12687f9d112a4702e6, 0.09038035
api-ms-win-downlevel-advapi32-l2-1-0.dll, b79caea9374582446c05ce15d8a4740a, 0.08591561
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2) - Copy.dll, 8a66571199e244035675aec0f3245c90, 0.07753837
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2).dll, 745348a7d0c1c13cb08b27cd1d576908, 0.06643667
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3) - Copy.dll, fd8753eb6a3ae804027d80521ee81052, 0.05404377
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3).dll, b7a869b5dbc31e240982f38c8311228e, 0.04173784
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4) - Copy.dll, 0a463fb13899d09cacdd441d369f2199, 0.03060278
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4).dll, ab01c58cba2f5b20d846d72eb3c8aa38, 0.02130288
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (5).dll, 36ddb79959bfdbd2a93464b1e8c5d9e7, 0.0140787
api-ms-win-downlevel-advapi32-l2-1-1 - Copy - Copy.dll, 3c74d0166e4e73ad508aad69667bb34a, 0.008833505
api-ms-win-downlevel-advapi32-l2-1-1 - Copy.dll, bbdceb88dded8d0387ad5e3d7e2563b4, 0.005261993
api-ms-win-downlevel-advapi32-l2-1-1.dll, 527e9a31b1ce6501cadc861c5c0d5347, 0.00297587
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2) - Copy.dll, 02941dc11c78e6bf5eae254f5cd15eeb, 0.001597807
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2).dll, b4744c5d7d340ea5580bcb095205d938, 8.144816E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3) - Copy.dll, 59d31cb75f23547af406a1d1e27e02c4, 3.941711E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3).dll, 001ee443db0f76798bdfbff7bdd80d0a, 1.811068E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4) - Copy.dll, bbda7ffe0db87af052caa67047ec6440, 7.90008E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4).dll, 67b2ca247d64adef7b23ffa03915e490, 3.271709E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (5).dll, 4c293934961850c0caa95990694038c2, 1.286366E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy - Copy.dll, 0d1e17ffa3b9f8427ed0b200672cc72b, 4.801764E-6
api-ms-win-downlevel-advapi32-l3-1-0 - Copy.dll, bbac44a3cd2368287c42473e1fc4aab5, 1.701703E-6
api-ms-win-downlevel-advapi32-l3-1-0.dll, 022c622a73dbd9021d219b22c738e22d, 5.725497E-7
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2) - Copy.dll, a2fd882492111d423e6090ba65487a5a, 1.828897E-7
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2).dll, 07c99029c317935f72be9ec9b0c8af9d, 5.546409E-8
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (3) - Copy.dll, ea6b0804733014d467afd3517e0f3aed, 1.596913E-8
